K,skew,B,load,capfam,lam,cap_blocks,policy,W,p99_mean,p99_std,recomp_mean,recomp_std,hit_mean,p99_seeds,recomp_seeds
8,1.5,4,1.0,6,4.0,768,bounded,16,4.0602991228061915,1.1906536462686053,65706.66666666667,8504.270508920144,0.9197916666666667,4.8134;4.1543;2.5107;3.7299;3.3021;2.5329;2.6790;5.1857;4.3960;5.3552;5.2299;4.1280;1.8158;3.9608;3.6821;2.6599;4.2832;4.9685;5.8663;2.9978;5.4854;3.9757;3.1445;6.5900,53248;71680;71680;75776;69632;53248;63488;51200;67584;71680;59392;75776;51200;55296;71680;65536;69632;55296;75776;67584;69632;59392;75776;75776
8,1.5,4,1.0,6,4.0,768,bounded,32,4.122537437928848,1.3235344929130266,64853.333333333336,7470.444758439011,0.9208333333333334,4.0979;3.4157;2.5107;5.1371;3.3581;2.5329;2.6790;5.2904;5.0254;5.9371;5.3658;4.1280;1.8158;4.7002;3.7662;2.6599;3.1682;5.2662;6.4575;2.9978;5.6299;3.5374;3.0753;6.3884,51200;67584;71680;71680;69632;53248;63488;53248;63488;69632;53248;75776;53248;61440;71680;65536;67584;57344;69632;67584;69632;61440;73728;73728
8,1.5,4,1.0,7,4.0,896,greedy,0,3.430151516579604,1.7630758253452627,37461.333333333336,4158.632253785158,0.9542708333333333,3.2274;1.8618;1.4300;2.5244;2.2013;2.0294;1.5552;4.9631;4.8367;4.1719;5.0789;3.9912;1.3328;2.9930;3.5741;2.2219;2.7640;5.1878;5.8802;2.2357;6.2524;2.4447;1.4099;8.1557,30720;43008;40960;38912;34816;34816;32768;34816;40960;45056;36864;40960;36864;40960;45056;32768;28672;36864;38912;40960;36864;34816;36864;34816
8,1.5,4,1.0,7,4.0,896,vtc,0,5.6757464904962704,2.244773836148617,40448,5329.064958633299,0.9506249999999999,8.6177;3.1095;2.9728;6.1346;3.8800;5.6816;2.6229;6.5711;6.6056;8.7701;8.6142;4.0020;1.5761;5.7767;6.0121;4.8499;4.3704;8.5857;6.6832;3.8802;8.9750;6.3941;2.6424;8.8900,38912;43008;43008;53248;38912;38912;32768;40960;45056;51200;43008;43008;36864;40960;47104;32768;28672;38912;40960;40960;38912;38912;36864;36864
8,1.5,4,1.0,7,4.0,896,bounded,1,3.036782242050445,1.1949183237617773,39850.666666666664,5187.11566179981,0.9513541666666666,3.3302;1.4897;2.2472;2.6875;2.1433;2.7342;1.8420;4.7279;4.0425;3.2692;3.9263;2.8833;1.2110;2.5967;3.0267;2.7152;3.4348;4.5720;4.4258;2.3557;4.3232;1.8227;1.1072;5.9683,36864;43008;45056;47104;38912;38912;32768;40960;45056;49152;43008;43008;36864;40960;49152;32768;28672;38912;40960;40960;38912;32768;36864;34816
8,1.5,4,1.0,7,4.0,896,bounded,2,3.0447345641512062,1.234932679832192,39594.666666666664,5074.284799084717,0.9516666666666667,3.4029;1.5225;2.1648;2.6286;2.1482;2.8115;1.6187;4.4255;4.0607;3.2978;3.8413;2.9495;1.2637;2.5926;2.9955;2.7252;3.4661;4.6083;4.6759;2.0121;4.5560;2.0286;1.1072;6.1704,36864;43008;45056;47104;40960;38912;32768;36864;45056;49152;43008;40960;36864;40960;47104;32768;28672;36864;40960;40960;40960;32768;36864;34816
8,1.5,4,1.0,7,4.0,896,bounded,4,3.1282375406758667,1.3152902222145442,39594.666666666664,4899.0549655577,0.9516666666666667,3.2822;1.5914;1.4513;2.9788;2.2783;2.9037;1.5552;4.5376;4.4514;3.4659;4.0490;2.9799;1.4321;2.7632;3.1770;2.4576;3.5297;4.8809;4.7951;1.9977;4.7804;1.9569;1.4099;6.3726,36864;43008;43008;49152;38912;38912;32768;36864;45056;49152;40960;38912;36864;40960;47104;32768;28672;38912;40960;40960;40960;34816;36864;36864
8,1.5,4,1.0,7,4.0,896,bounded,8,3.1801410634181644,1.3651405566146444,38912,4617.471746890644,0.9525,3.7264;1.7873;1.4300;2.7302;2.3097;2.0940;1.5552;4.3225;4.6305;4.1855;4.0242;3.4194;1.3328;2.9930;3.2596;2.2219;3.1784;4.8944;5.4319;2.3550;4.1204;2.3198;1.4099;6.5913,36864;43008;43008;43008;38912;36864;32768;34816;47104;49152;40960;38912;36864;40960;45056;32768;28672;38912;38912;40960;36864;34816;36864;36864
8,1.5,4,1.0,7,4.0,896,bounded,16,3.3812492883687337,1.4630102905715476,37973.333333333336,4221.197723658799,0.9536458333333333,4.8134;1.8618;1.4300;2.6949;2.2013;2.0294;1.5552;5.1857;4.3863;3.9919;4.5885;3.9912;1.3328;2.9930;4.0978;2.2219;4.2832;4.9685;5.8663;2.2357;4.6978;2.4447;1.4099;5.8686,38912;43008;40960;40960;34816;34816;32768;34816;43008;47104;36864;40960;36864;40960;45056;32768;28672;36864;36864;40960;36864;34816;36864;34816
8,1.5,4,1.0,7,4.0,896,bounded,32,3.3117909004324493,1.5293147619116565,37546.666666666664,4166.504316837104,0.9541666666666666,3.2274;1.8618;1.4300;2.5244;2.2013;2.0294;1.5552;4.9631;4.8367;4.0163;5.0789;3.9912;1.3328;2.9930;3.5741;2.2219;2.7640;5.2662;5.8802;2.2357;5.2562;2.4447;1.4099;6.3884,30720;43008;40960;38912;34816;34816;32768;34816;40960;45056;36864;40960;36864;40960;45056;32768;28672;36864;38912;40960;38912;34816;36864;34816
