K,skew,B,load,capfam,policy,W,p99_mean,p99_std,recomp_mean,recomp_std,hit_mean
16,1.5,4,1.0,6,bounded,16,12.830,3.828,132693,6919,0.8380
16,1.5,4,1.0,6,bounded,32,10.879,2.101,119381,8798,0.8543
16,1.5,4,1.0,6,greedy,0,11.165,2.403,115712,11735,0.8588
16,1.5,4,1.0,6,vtc,0,79.054,18.561,189781,26091,0.7683
16,1.5,4,1.0,8,bounded,1,11.017,4.573,123648,12113,0.8491
16,1.5,4,1.0,8,bounded,2,10.423,4.256,121941,12611,0.8511
16,1.5,4,1.0,8,bounded,4,10.628,4.295,121515,12155,0.8517
16,1.5,4,1.0,8,bounded,8,9.796,4.439,117333,11638,0.8568
16,1.5,4,1.0,8,bounded,16,8.483,3.316,108800,10431,0.8672
16,1.5,4,1.0,8,bounded,32,7.945,2.061,100693,8862,0.8771
16,1.5,4,1.0,8,greedy,0,8.265,2.390,99584,9548,0.8784
16,1.5,4,1.0,8,vtc,0,38.794,18.490,133376,16850,0.8372
16,1.5,4,1.4,5,bounded,1,66.828,7.225,210261,15162,0.7433
16,1.5,4,1.4,5,bounded,2,61.037,7.313,194816,13793,0.7622
16,1.5,4,1.4,5,bounded,4,51.835,6.780,169728,14032,0.7928
16,1.5,4,1.4,5,bounded,8,42.710,5.815,145152,10597,0.8228
16,1.5,4,1.4,5,bounded,16,33.864,4.696,119296,11376,0.8544
16,1.5,4,1.4,5,bounded,32,27.569,2.950,97877,6503,0.8805
16,1.5,4,1.4,5,greedy,0,32.040,5.958,62976,7001,0.9231
16,1.5,4,1.4,5,vtc,0,106.598,13.862,231168,33461,0.7178
16,1.5,4,1.4,6,bounded,1,52.225,7.133,170752,13938,0.7916
16,1.5,4,1.4,6,bounded,2,48.584,6.398,161195,11547,0.8032
16,1.5,4,1.4,6,bounded,4,43.028,6.584,145579,13324,0.8223
16,1.5,4,1.4,6,bounded,8,37.365,5.263,129963,8255,0.8414
16,1.5,4,1.4,6,bounded,16,31.341,4.846,111872,7884,0.8634
16,1.5,4,1.4,6,bounded,32,26.099,3.374,93525,6358,0.8858
16,1.5,4,1.4,6,greedy,0,29.115,5.269,58539,6528,0.9285
16,1.5,4,1.4,6,vtc,0,91.926,10.567,191659,26260,0.7660
16,1.5,4,1.4,8,bounded,1,33.764,5.641,119979,12400,0.8535
16,1.5,4,1.4,8,bounded,2,32.318,6.135,115968,13138,0.8584
16,1.5,4,1.4,8,bounded,4,30.465,6.539,111360,12937,0.8641
16,1.5,4,1.4,8,bounded,8,28.111,4.665,104277,10525,0.8727
16,1.5,4,1.4,8,bounded,16,25.902,3.775,96768,7198,0.8819
16,1.5,4,1.4,8,bounded,32,23.826,3.416,86528,6695,0.8944
16,1.5,4,1.4,8,greedy,0,30.296,9.516,49749,7324,0.9393
16,1.5,4,1.4,8,vtc,0,72.481,9.885,140544,23543,0.8284
16,2.0,4,0.7,5,bounded,1,2.898,0.887,107605,13725,0.8686
16,2.0,4,0.7,5,bounded,2,2.661,0.914,106752,13499,0.8697
16,2.0,4,0.7,5,bounded,4,2.609,0.790,105643,14114,0.8710
16,2.0,4,0.7,5,bounded,8,2.719,0.756,104448,13167,0.8725
16,2.0,4,0.7,5,bounded,16,2.752,0.767,104021,13246,0.8730
16,2.0,4,0.7,5,bounded,32,2.749,0.758,104021,13246,0.8730
16,2.0,4,0.7,5,greedy,0,2.749,0.758,104021,13246,0.8730
16,2.0,4,0.7,5,vtc,0,6.617,2.621,109739,14456,0.8660
16,2.0,4,0.7,6,bounded,1,2.303,0.934,85333,13516,0.8958
16,2.0,4,0.7,6,bounded,2,2.176,0.917,85333,13542,0.8958
16,2.0,4,0.7,6,bounded,4,2.114,0.854,84651,13373,0.8967
16,2.0,4,0.7,6,bounded,8,2.186,0.880,84480,13183,0.8969
16,2.0,4,0.7,6,bounded,16,2.315,0.906,83968,12926,0.8975
16,2.0,4,0.7,6,bounded,32,2.304,0.889,83968,13033,0.8975
16,2.0,4,0.7,6,greedy,0,2.304,0.889,83968,13033,0.8975
16,2.0,4,0.7,6,vtc,0,4.622,2.572,86357,13924,0.8946
16,2.0,4,0.7,8,bounded,1,1.643,1.107,56917,10658,0.9305
16,2.0,4,0.7,8,bounded,2,1.627,1.079,56832,10629,0.9306
16,2.0,4,0.7,8,bounded,4,1.649,1.033,56917,10691,0.9305
16,2.0,4,0.7,8,bounded,8,1.692,1.047,57173,11012,0.9302
16,2.0,4,0.7,8,bounded,16,1.777,1.070,57088,10954,0.9303
16,2.0,4,0.7,8,bounded,32,1.774,1.061,57088,10954,0.9303
16,2.0,4,0.7,8,greedy,0,1.774,1.061,57088,10954,0.9303
16,2.0,4,0.7,8,vtc,0,2.526,1.897,56917,10493,0.9305
16,2.0,4,1.0,5,bounded,1,8.437,3.382,108117,12611,0.8680
