seed,frac,L,rank,answer_score,top_distractor_score,bp_idf_mean,lennorm_answer,answer_len,n_docs_with_bp
6,0.0,64,4,22.089662,25.856539,7.195937,1.958906,114,1
6,0.0,128,16,17.331185,25.861186,7.195937,2.916587,178,1
6,0.0,256,24,12.130800,25.870467,7.195937,4.828280,306,1
6,0.0,512,25,7.597310,25.888978,7.195937,8.637058,562,1
6,0.0,1024,39,4.363409,25.925798,7.195937,16.196706,1074,1
6,0.25,0,1,30.535520,25.851888,0.000000,1.000000,50,9
6,0.25,8,1,29.141516,25.780696,5.350111,1.119374,58,9
6,0.25,16,1,27.873270,25.785908,5.350111,1.238576,66,9
6,0.25,32,2,25.650488,25.796315,5.350111,1.476468,82,9
6,0.25,64,2,22.145008,25.817064,5.350111,1.950207,114,9
6,0.25,128,10,17.436905,25.858306,5.350111,2.889592,178,9
6,0.25,256,17,12.307679,25.939784,5.350111,4.736628,306,9
6,0.25,512,18,7.850145,26.098821,5.350111,8.308657,562,9
6,0.25,1024,31,4.678452,26.402074,5.350111,15.000586,1074,9
6,1.0,0,1,30.535520,25.851888,0.000000,1.000000,50,31
6,1.0,8,1,29.158519,24.757770,4.151415,1.117848,58,31
6,1.0,16,1,27.908523,23.757265,4.151415,1.235114,66,31
6,1.0,32,1,25.724121,21.992822,4.151415,1.467918,82,31
6,1.0,64,1,22.295750,19.184717,4.151415,1.926734,114,31
6,1.0,128,1,17.723268,15.371681,4.151415,2.818098,178,31
6,1.0,256,1,12.783866,11.174628,4.151415,4.502520,306,31
6,1.0,512,1,8.527159,7.499875,4.151415,7.525269,562,31
6,1.0,1024,1,5.518768,5.257434,4.151415,12.478261,1074,31
7,0.0,0,3,24.247234,26.252268,0.000000,1.000000,50,1
7,0.0,8,5,23.113201,26.252859,7.195937,1.119930,58,1
7,0.0,16,7,22.082948,26.253450,7.195937,1.239842,66,1
7,0.0,32,7,20.280461,26.254631,7.195937,1.479607,82,1
7,0.0,64,11,17.445298,26.256992,7.195937,1.958906,114,1
7,0.0,128,11,13.649843,26.261711,7.195937,2.916587,178,1
7,0.0,256,19,9.527848,26.271135,7.195937,4.828280,306,1
7,0.0,512,31,5.953975,26.289933,7.195937,8.637058,562,1
7,0.0,1024,47,3.414544,26.327323,7.195937,16.196706,1074,1
7,0.25,0,3,24.247234,26.252268,0.000000,1.000000,50,9
7,0.25,8,5,23.118211,26.100236,5.350111,1.119374,58,9
7,0.25,16,7,22.093327,26.105512,5.350111,1.238576,66,9
7,0.25,32,7,20.302120,26.116047,5.350111,1.476468,82,9
7,0.25,64,9,17.489588,26.137054,5.350111,1.950207,114,9
7,0.25,128,9,13.733910,26.178808,5.350111,2.889592,178,9
7,0.25,256,16,9.667638,26.261295,5.350111,4.736628,306,9
7,0.25,512,24,6.152850,26.422303,5.350111,8.308657,562,9
7,0.25,1024,40,3.661591,26.729315,5.350111,15.000586,1074,9
7,1.0,0,3,24.247234,26.252268,0.000000,1.000000,50,31
7,1.0,8,3,23.131966,25.141206,4.151415,1.117848,58,31
7,1.0,16,3,22.121787,24.125205,4.151415,1.235114,66,31
7,1.0,32,3,20.361356,22.333435,4.151415,1.467918,82,31
7,1.0,64,3,17.610236,19.481840,4.151415,1.926734,114,31
7,1.0,128,3,13.961677,15.609749,4.151415,2.818098,178,31
7,1.0,256,3,10.044117,11.347695,4.151415,4.502520,306,31
7,1.0,512,3,6.685626,7.616029,4.151415,7.525269,562,31
7,1.0,1024,19,4.320895,5.466049,4.151415,12.478261,1074,31
8,0.0,0,1,28.644502,25.812780,0.000000,1.000000,50,1
8,0.0,8,1,27.238559,25.813361,7.195937,1.119930,58,1
8,0.0,16,1,25.968038,25.813942,7.195937,1.239842,66,1
8,0.0,32,6,23.760181,25.815103,7.195937,1.479607,82,1
8,0.0,64,6,20.324214,25.817424,7.195937,1.958906,114,1
8,0.0,128,17,15.789952,25.822064,7.195937,2.916587,178,1
8,0.0,256,23,10.942696,25.831331,7.195937,4.828280,306,1
8,0.0,512,24,6.798407,25.849814,7.195937,8.637058,562,1
8,0.0,1024,43,3.883572,25.886578,7.195937,16.196706,1074,1
8,0.25,0,1,28.644502,25.812780,0.000000,1.000000,50,9
8,0.25,8,1,27.244752,25.818005,5.350111,1.119374,58,9
8,0.25,16,1,25.980807,25.823224,5.350111,1.238576,66,9
8,0.25,32,5,23.786600,25.833645,5.350111,1.476468,82,9
8,0.25,64,5,20.377557,25.854425,5.350111,1.950207,114,9
8,0.25,128,12,15.889618,25.895727,5.350111,2.889592,178,9
8,0.25,256,17,11.105859,25.977322,5.350111,4.736628,306,9
8,0.25,512,18,7.027698,26.136589,5.350111,8.308657,562,9
8,0.25,1024,35,4.166110,26.440282,5.350111,15.000586,1074,9
8,1.0,0,1,28.644502,25.812780,0.000000,1.000000,50,31
8,1.0,8,1,27.261759,24.720318,4.151415,1.117848,58,31
8,1.0,16,1,26.015820,23.721326,4.151415,1.235114,66,31
8,1.0,32,1,23.858870,21.959552,4.151415,1.467918,82,31
8,1.0,64,1,20.522918,19.155695,4.151415,1.926734,114,31
8,1.0,128,1,16.159816,15.348427,4.151415,2.818098,178,31
8,1.0,256,1,11.545698,11.157724,4.151415,4.502520,306,31
8,1.0,512,1,7.642704,7.488529,4.151415,7.525269,562,31
8,1.0,1024,13,4.921198,5.392065,4.151415,12.478261,1074,31
9,0.0,0,1,29.433376,25.070652,0.000000,1.000000,50,1
9,0.0,8,1,28.086507,25.071216,7.195937,1.119930,58,1
9,0.0,16,1,26.859861,25.071780,7.195937,1.239842,66,1
9,0.0,32,7,24.707051,25.072908,7.195937,1.479607,82,1
9,0.0,64,13,21.304349,25.075163,7.195937,1.958906,114,1
9,0.0,128,23,16.719748,25.079670,7.195937,2.916587,178,1
9,0.0,256,27,11.706128,25.088670,7.195937,4.828280,306,1
9,0.0,512,27,7.332999,25.106622,7.195937,8.637058,562,1
9,0.0,1024,43,4.212238,25.142328,7.195937,16.196706,1074,1
9,0.25,0,1,29.433376,25.070652,0.000000,1.000000,50,9
9,0.25,8,1,28.092464,25.075727,5.350111,1.119374,58,9
9,0.25,16,1,26.872233,25.080796,5.350111,1.238576,66,9
9,0.25,32,5,24.732969,25.090918,5.350111,1.476468,82,9
9,0.25,64,10,21.357654,25.111099,5.350111,1.950207,114,9
