regime,sigma,seed,b,q_router,q_conf,q_rand,q_oracle,q_allquant,q_allfull,auc
request_dependent,1.0,4,0.3,0.8656320782081292,0.8381659444550623,0.8153252274148914,0.9274702038428217,0.7304272633680376,1.001818445087343,0.7726464285714286
request_dependent,1.0,4,0.5,0.927837355788531,0.8919825522086866,0.8648771168641942,0.9771715517770407,0.7304272633680376,1.001818445087343,0.7726464285714286
request_dependent,1.0,5,0.05,0.7728696003929598,0.7640752569084805,0.7579331966783104,0.7919855184367468,0.7443901488616465,1.0012795107433425,0.7545892857142857
request_dependent,1.0,5,0.1,0.7953607402097048,0.7838502340176389,0.7740246498929919,0.8323484769844117,0.7443901488616465,1.0012795107433425,0.7545892857142857
request_dependent,1.0,5,0.2,0.834135187313287,0.8173875272253953,0.7958227091794947,0.8930313187102522,0.7443901488616465,1.0012795107433425,0.7545892857142857
request_dependent,1.0,5,0.3,0.8695964797555912,0.8487372807620726,0.820190941179649,0.9342524339757164,0.7443901488616465,1.0012795107433425,0.7545892857142857
request_dependent,1.0,5,0.5,0.9291567506659826,0.9060733431656902,0.870415988148798,0.9781814334520044,0.7443901488616465,1.0012795107433425,0.7545892857142857
uniform,0.05,1,0.05,0.6650759870665941,0.6650739826008659,0.6646246657457142,0.670342812680754,0.6474733366739592,0.9984698786781101,0.5251119047619047
uniform,0.05,1,0.1,0.6825063949162816,0.6827276521760275,0.6826994910846306,0.6915608637049134,0.6474733366739592,0.9984698786781101,0.5251119047619047
uniform,0.05,1,0.2,0.7178756476630297,0.7181041643878615,0.7173836097871967,0.7318602235886802,0.6474733366739592,0.9984698786781101,0.5251119047619047
uniform,0.05,1,0.3,0.7536369433743154,0.7527571234470706,0.7530437318722275,0.7702414851773817,0.6474733366739592,0.9984698786781101,0.5251119047619047
uniform,0.05,1,0.5,0.8232620444923231,0.8230003012744312,0.8227925773660337,0.8428120011191224,0.6474733366739592,0.9984698786781101,0.5251119047619047
uniform,0.05,2,0.05,0.668117604575053,0.6679410696683191,0.6683318580457013,0.6732168027366934,0.6503693311005901,1.0012298545250324,0.5181035714285714
uniform,0.05,2,0.1,0.6860809539372873,0.685339190171088,0.6854282864902853,0.6945156517668969,0.6503693311005901,1.0012298545250324,0.5181035714285714
uniform,0.05,2,0.2,0.7212139410712866,0.7200760078438574,0.721328838281274,0.7348751804032294,0.6503693311005901,1.0012298545250324,0.5181035714285714
uniform,0.05,2,0.3,0.7558830760628614,0.7548664265067349,0.7551996552807084,0.7733869905333346,0.6503693311005901,1.0012298545250324,0.5181035714285714
uniform,0.05,2,0.5,0.8262101502584802,0.8256177735065526,0.82643102014138,0.8462036370416417,0.6503693311005901,1.0012298545250324,0.5181035714285714
uniform,0.05,3,0.05,0.6689117572691162,0.6691223260939703,0.6687281867193545,0.6744281344028217,0.6515708290393255,1.0015108694330261,0.5304869047619047
uniform,0.05,3,0.1,0.6865533692341701,0.6866156297908692,0.6860271485659208,0.6955411494821071,0.6515708290393255,1.0015108694330261,0.5304869047619047
uniform,0.05,3,0.2,0.7220231632679488,0.7213936895609978,0.7217705011421929,0.7356734049159082,0.6515708290393255,1.0015108694330261,0.5304869047619047
uniform,0.05,3,0.3,0.7572677942475536,0.7564982563620897,0.7564217037450001,0.7740773358608136,0.6515708290393255,1.0015108694330261,0.5304869047619047
uniform,0.05,3,0.5,0.8274880993028486,0.8265775682720068,0.8258092346205481,0.8467717159242688,0.6515708290393255,1.0015108694330261,0.5304869047619047
uniform,0.05,4,0.05,0.6695117615135027,0.6696745434342833,0.6693985727532337,0.6745832822879653,0.652088687856282,1.0020685926000885,0.5294309523809524
uniform,0.05,4,0.1,0.687194693859657,0.6871384349843708,0.6866203131585797,0.6955083715286989,0.652088687856282,1.0020685926000885,0.5294309523809524
uniform,0.05,4,0.2,0.7223383618400324,0.7226991043121651,0.72168994255311,0.7355964630387543,0.652088687856282,1.0020685926000885,0.5294309523809524
uniform,0.05,4,0.3,0.7574203462447031,0.7578361653146113,0.7584721450926413,0.7739317623153731,0.652088687856282,1.0020685926000885,0.5294309523809524
uniform,0.05,4,0.5,0.8277692663412439,0.8276909388846475,0.8275046382714065,0.8466748896551134,0.652088687856282,1.0020685926000885,0.5294309523809524
uniform,0.05,5,0.05,0.670941069527338,0.6706543455627715,0.6709330278436856,0.6757000723869541,0.6532033570445177,1.002227302778688,0.5317119047619048
