seed,frac,t_qterms,L,rank,answer_score,top_distractor_score
12,1.0,2,4,4,33.708293,34.220667
12,1.0,2,8,6,33.716144,35.323663
12,1.0,2,16,6,33.731809,35.911088
12,1.0,2,32,6,33.762993,35.732941
12,1.0,2,64,5,33.824777,34.729518
12,1.0,2,128,1,33.946072,33.094336
12,1.0,2,256,1,34.179942,31.281201
12,1.0,2,512,1,34.615597,29.763577
13,0.5,1,0,1,31.690513,27.951203
13,0.5,1,4,3,31.234201,34.208746
13,0.5,1,8,3,31.238025,34.624733
13,0.5,1,16,3,31.245666,34.424974
13,0.5,1,32,2,31.260913,33.488281
13,0.5,1,64,2,31.291276,31.754864
13,0.5,1,128,1,31.351478,29.393853
13,0.5,1,256,1,31.469827,26.992856
13,0.5,1,512,1,31.698629,27.178822
13,1.0,1,0,1,31.690513,27.951203
13,1.0,1,4,3,30.941482,33.795928
13,1.0,1,8,3,30.949044,34.170966
13,1.0,1,16,3,30.964134,33.949875
13,1.0,1,32,2,30.994183,33.011378
13,1.0,1,64,2,31.053761,31.297080
13,1.0,1,128,1,31.170883,28.977691
13,1.0,1,256,1,31.397302,26.543620
13,1.0,1,512,1,31.821201,24.530403
13,0.5,2,0,1,31.690513,27.951203
13,0.5,2,4,5,30.819220,34.396630
13,0.5,2,8,5,30.822990,35.591263
13,0.5,2,16,5,30.830520,36.275872
13,0.5,2,32,5,30.845547,36.194065
13,0.5,2,64,5,30.875470,35.272698
13,0.5,2,128,5,30.934800,33.673599
13,0.5,2,256,4,31.051431,31.823240
13,0.5,2,512,1,31.276898,30.211279
13,1.0,2,0,1,31.690513,27.951203
13,1.0,2,4,8,30.209031,33.593368
13,1.0,2,8,8,30.216398,34.709180
13,1.0,2,16,8,30.231099,35.332040
13,1.0,2,32,8,30.260373,35.215333
13,1.0,2,64,8,30.318413,34.289043
13,1.0,2,128,8,30.432503,32.714919
13,1.0,2,256,2,30.653036,30.913811
13,1.0,2,512,1,31.065825,29.362494
14,0.5,1,0,1,33.058536,27.766340
14,0.5,1,4,3,32.390542,33.064510
14,0.5,1,8,3,32.394415,33.472733
14,0.5,1,16,3,32.402152,33.279424
14,0.5,1,32,1,32.417591,32.375768
14,0.5,1,64,1,32.448331,30.724574
14,0.5,1,128,1,32.509259,28.513723
14,0.5,1,256,1,32.628958,26.788154
14,0.5,1,512,1,32.860073,26.972710
14,1.0,1,0,1,33.058536,27.766340
14,1.0,1,4,3,32.057241,32.678759
14,1.0,1,8,3,32.064899,33.048860
14,1.0,1,16,3,32.080182,32.835854
14,1.0,1,32,1,32.110610,31.930783
14,1.0,1,64,1,32.170920,30.297400
14,1.0,1,128,1,32.289405,28.124306
14,1.0,1,256,1,32.518181,25.883452
14,1.0,1,512,1,32.945496,24.057133
14,0.5,2,0,1,33.058536,27.766340
14,0.5,2,4,3,31.915100,32.625573
14,0.5,2,8,3,31.918918,33.850944
14,0.5,2,16,3,31.926544,34.570262
14,0.5,2,32,3,31.941763,34.546613
14,0.5,2,64,3,31.972063,33.749786
14,0.5,2,128,3,32.032119,32.388720
14,0.5,2,256,1,32.150107,30.880473
14,0.5,2,512,1,32.377923,29.626335
14,1.0,2,0,1,33.058536,27.766340
14,1.0,2,4,5,31.004288,32.798388
14,1.0,2,8,5,31.011701,33.917787
14,1.0,2,16,5,31.026494,34.540571
14,1.0,2,32,5,31.055948,34.426334
14,1.0,2,64,5,31.114328,33.522076
14,1.0,2,128,2,31.229025,32.014882
14,1.0,2,256,1,31.450495,30.334064
14,1.0,2,512,1,31.864201,28.925500
15,0.5,1,0,1,32.862935,27.310161
15,0.5,1,4,1,32.535748,28.063106
15,0.5,1,8,1,32.539627,28.358252
15,0.5,1,16,1,32.547377,28.231298
15,0.5,1,32,1,32.562842,27.543969
15,0.5,1,64,1,32.593630,26.957460
15,0.5,1,128,1,32.654654,27.006791
15,0.5,1,256,1,32.774530,27.103637
15,0.5,1,512,1,33.005951,27.290366
15,1.0,1,0,1,32.862935,27.310161
15,1.0,1,4,2,32.279320,32.587991
15,1.0,1,8,2,32.287000,32.946879
15,1.0,1,16,2,32.302327,32.726015
15,1.0,1,32,1,32.332840,31.816060
15,1.0,1,64,1,32.393317,30.181287
15,1.0,1,128,1,32.512115,28.011605
15,1.0,1,256,1,32.741445,25.778530
15,1.0,1,512,1,33.169614,23.961199
15,0.5,2,0,1,32.862935,27.310161
15,0.5,2,4,2,32.267055,32.721507
15,0.5,2,8,2,32.270904,33.905744
15,0.5,2,16,2,32.278592,34.585634
15,0.5,2,32,2,32.293935,34.524191
15,0.5,2,64,2,32.324481,33.689331
15,0.5,2,128,1,32.385023,32.291181
15,0.5,2,256,1,32.503954,30.751383
15,0.5,2,512,1,32.733558,29.474485
15,1.0,2,0,1,32.862935,27.310161
15,1.0,2,4,4,31.533703,33.114155
15,1.0,2,8,4,31.541210,34.206660
15,1.0,2,16,4,31.556190,34.800136
15,1.0,2,32,4,31.586013,34.652121
15,1.0,2,64,4,31.645123,33.706374
15,1.0,2,128,3,31.761239,32.150639
15,1.0,2,256,1,31.985395,30.421422
15,1.0,2,512,1,32.403928,28.973308
16,0.5,1,0,1,34.140598,27.401835
16,0.5,1,4,1,33.610316,33.007410
16,0.5,1,8,1,33.614235,33.423935
16,0.5,1,16,1,33.622064,33.237868
16,0.5,1,32,1,33.637685,32.342031
16,0.5,1,64,1,33.668781,30.701134
16,0.5,1,128,1,33.730394,28.503787
16,0.5,1,256,1,33.851350,27.376546
16,0.5,1,512,1,34.084567,27.565156
16,1.0,1,0,1,34.140598,27.401835
16,1.0,1,4,2,33.179503,33.699883
16,1.0,1,8,2,33.187230,34.057885
16,1.0,1,16,2,33.202650,33.824910
16,1.0,1,32,1,33.233344,32.877891
16,1.0,1,64,1,33.294159,31.156465
16,1.0,1,128,1,33.413551,28.830351
16,1.0,1,256,1,33.643753,26.390154
16,1.0,1,512,1,34.072573,24.372050
16,0.5,2,0,1,34.140598,27.401835
16,0.5,2,4,2,32.931032,33.502098
16,0.5,2,8,4,32.934872,34.652685
16,0.5,2,16,4,32.942543,35.293804
16,0.5,2,32,4,32.957848,35.176434
16,0.5,2,64,4,32.988316,34.241897
16,0.5,2,128,1,33.048683,32.676633
16,0.5,2,256,1,33.167195,30.919112
16,0.5,2,512,1,33.395699,29.431324
16,1.0,2,0,1,34.140598,27.401835
16,1.0,2,4,3,32.433886,32.965555
16,1.0,2,8,5,32.441440,34.063885
16,1.0,2,16,6,32.456513,34.665446
16,1.0,2,32,6,32.486517,34.528613
16,1.0,2,64,4,32.545966,33.598036
16,1.0,2,128,1,32.662675,32.060806
16,1.0,2,256,1,32.887703,30.350325
16,1.0,2,512,1,33.306887,28.917578
17,0.5,1,0,1,35.025150,28.353967
17,0.5,1,4,1,34.412358,28.497708
17,0.5,1,8,1,34.416370,28.678161
17,0.5,1,16,1,34.424386,28.499873
17,0.5,1,32,1,34.440380,27.794644
17,0.5,1,64,1,34.472218,27.788650
17,0.5,1,128,1,34.535301,27.839503
17,0.5,1,256,1,34.659144,27.939334
17,0.5,1,512,1,34.897927,28.131821
17,1.0,1,0,1,35.025150,28.353967
17,1.0,1,4,1,34.067856,28.523241
17,1.0,1,8,1,34.075790,28.674171
17,1.0,1,16,1,34.091622,28.469447
17,1.0,1,32,1,34.123138,27.741768
17,1.0,1,64,1,34.185582,26.409938
17,1.0,1,128,1,34.308171,24.598789
17,1.0,1,256,1,34.544535,22.693672
17,1.0,1,512,1,34.984837,21.117237
