seed,b,L,rank,answer_score,top_distractor_score,dist_lennorm_mean
6,0.5,0,1,30.535520,25.851888,1.000000
6,0.5,4,2,29.556643,31.928140,1.039353
6,0.5,8,2,29.563687,33.432980,1.078611
6,0.5,16,2,29.577734,34.256371,1.156847
6,0.5,32,2,29.605669,34.166748,1.312203
6,0.5,64,2,29.660907,33.030269,1.618524
6,0.5,128,2,29.768924,30.842322,2.214176
6,0.5,256,1,29.975620,27.925984,3.341753
6,0.5,512,1,30.355228,24.970703,5.371706
6,0.75,0,1,30.535520,25.851888,1.000000
6,0.75,4,2,29.560173,31.716308,1.059029
6,0.75,8,2,29.570743,33.053240,1.117917
6,0.75,16,2,29.591829,33.608467,1.235271
6,0.75,32,2,29.633792,33.115806,1.468304
6,0.75,64,2,29.716889,31.462593,1.927786
6,0.75,128,1,29.879846,28.809175,2.821263
6,0.75,256,1,30.193384,25.736568,4.512630
6,0.75,512,1,30.775151,23.011684,7.557559
6,1.0,0,1,30.535520,25.851888,1.000000
6,1.0,4,2,29.563704,31.507348,1.078706
6,1.0,8,2,29.577802,32.682743,1.157223
6,1.0,16,2,29.605937,32.989831,1.313694
6,1.0,32,2,29.661969,32.152291,1.624406
6,1.0,64,2,29.773088,30.118889,2.237049
6,1.0,128,1,29.991616,27.220815,3.428351
6,1.0,256,1,30.414409,24.190736,5.683507
6,1.0,512,1,31.207151,21.740774,9.743412
7,0.0,0,3,24.247234,26.252268,1.000000
7,0.0,4,11,23.440143,31.875672,1.000000
7,0.0,8,12,23.440143,33.745130,1.000000
7,0.0,16,12,23.440143,35.180960,1.000000
7,0.0,32,12,23.440143,36.127559,1.000000
7,0.0,64,25,23.440143,36.685421,1.000000
7,0.0,128,25,23.440143,36.991038,1.000000
7,0.0,256,25,23.440143,37.151437,1.000000
7,0.0,512,25,23.440143,37.233669,1.000000
7,0.25,0,3,24.247234,26.252268,1.000000
7,0.25,4,11,23.442987,31.661749,1.019676
7,0.25,8,12,23.445826,33.353568,1.039306
7,0.25,16,12,23.451485,34.482924,1.078424
7,0.25,32,12,23.462730,34.887516,1.156101
7,0.25,64,12,23.484935,34.491139,1.309262
7,0.25,128,12,23.528238,33.215957,1.607088
7,0.25,256,12,23.610660,31.066325,2.170877
7,0.25,512,9,23.760547,28.350692,3.185853
7,0.5,0,3,24.247234,26.252268,1.000000
7,0.5,4,10,23.445833,31.450763,1.039353
7,0.5,8,12,23.451512,32.971778,1.078611
7,0.5,16,12,23.462838,33.818240,1.156847
7,0.5,32,12,23.485362,33.762930,1.312203
7,0.5,64,12,23.529904,32.678839,1.618524
7,0.5,128,12,23.617015,30.565921,2.214176
7,0.5,256,9,23.783743,27.741398,3.341753
7,0.5,512,3,24.090076,24.876842,5.371706
7,0.75,0,3,24.247234,26.252268,1.000000
7,0.75,4,10,23.448679,31.242652,1.059029
7,0.75,8,12,23.457201,32.599378,1.117917
7,0.75,16,12,23.474203,33.184348,1.235271
7,0.75,32,12,23.508039,32.736966,1.468304
7,0.75,64,12,23.575049,31.150822,1.927786
7,0.75,128,9,23.706482,28.585922,2.821263
7,0.75,256,5,23.959452,25.609786,4.512630
7,0.75,512,1,24.429137,22.969181,7.557559
7,1.0,0,3,24.247234,26.252268,1.000000
7,1.0,4,9,23.451525,31.037356,1.078706
7,1.0,8,12,23.462892,32.236008,1.157223
7,1.0,16,12,23.485578,32.578953,1.313694
7,1.0,32,12,23.530761,31.795972,1.624406
7,1.0,64,12,23.620373,29.840318,2.237049
7,1.0,128,6,23.796648,27.037755,3.428351
7,1.0,256,1,24.137849,24.102947,5.683507
7,1.0,512,1,24.778166,21.729493,9.743412
8,0.0,0,1,28.644502,25.812780,1.000000
8,0.0,4,4,27.367504,31.731876,1.000000
8,0.0,8,6,27.367504,33.592267,1.000000
8,0.0,16,16,27.367504,35.021790,1.000000
8,0.0,32,16,27.367504,35.964575,1.000000
8,0.0,64,16,27.367504,36.520324,1.000000
8,0.0,128,16,27.367504,36.824826,1.000000
8,0.0,256,16,27.367504,36.984652,1.000000
8,0.0,512,16,27.367504,37.066593,1.000000
8,0.25,0,1,28.644502,25.812780,1.000000
8,0.25,4,4,27.370996,31.519006,1.019676
8,0.25,8,4,27.374481,33.202658,1.039306
8,0.25,16,16,27.381428,34.327293,1.078424
8,0.25,32,16,27.395233,34.730942,1.156101
8,0.25,64,16,27.422496,34.337573,1.309262
8,0.25,128,16,27.475671,33.069806,1.607088
8,0.25,256,4,27.576917,30.932096,2.170877
8,0.25,512,3,27.761147,28.231324,3.185853
8,0.5,0,1,28.644502,25.812780,1.000000
8,0.5,4,4,27.374489,31.309058,1.039353
8,0.5,8,4,27.381461,32.822769,1.078611
8,0.5,16,10,27.395366,33.665972,1.156847
8,0.5,32,16,27.423020,33.612146,1.312203
8,0.5,64,4,27.477717,32.534743,1.618524
8,0.5,128,4,27.584724,30.433755,2.214176
8,0.5,256,1,27.789671,27.624803,3.341753
8,0.5,512,1,28.166689,24.775929,5.371706
8,0.75,0,1,28.644502,25.812780,1.000000
8,0.75,4,4,27.377983,31.101970,1.059029
8,0.75,8,4,27.388445,32.452222,1.117917
8,0.75,16,4,27.409319,33.035279,1.235271
8,0.75,32,4,27.450865,32.591444,1.468304
8,0.75,64,4,27.533168,31.014666,1.927786
8,0.75,128,3,27.694677,28.464122,2.821263
8,0.75,256,1,28.005850,25.504376,4.512630
8,0.75,512,1,28.584700,22.878257,7.557559
8,1.0,0,1,28.644502,25.812780,1.000000
8,1.0,4,4,27.381478,30.897683,1.078706
8,1.0,8,4,27.395433,32.090657,1.157223
8,1.0,16,4,27.423286,32.432931,1.313694
8,1.0,32,4,27.478769,31.655257,1.624406
8,1.0,64,4,27.588851,29.710931,2.237049
8,1.0,128,1,27.805541,26.923993,3.428351
8,1.0,256,1,28.225540,24.005350,5.683507
8,1.0,512,1,29.015788,21.644952,9.743412
9,0.0,0,1,29.433376,25.070652,1.000000
9,0.0,4,4,28.358467,31.168161,1.000000
9,0.0,8,4,28.358467,33.024279,1.000000
9,0.0,16,9,28.358467,34.449833,1.000000
9,0.0,32,21,28.358467,35.389642,1.000000
9,0.0,64,21,28.358467,35.943497,1.000000
9,0.0,128,21,28.358467,36.246916,1.000000
9,0.0,256,23,28.358467,36.406162,1.000000
9,0.0,512,23,28.358467,36.487802,1.000000
9,0.25,0,1,29.433376,25.070652,1.000000
9,0.25,4,4,28.361860,30.959277,1.019676
9,0.25,8,4,28.365245,32.642474,1.039306
9,0.25,16,4,28.371995,33.770472,1.078424
9,0.25,32,7,28.385407,34.184951,1.156101
9,0.25,64,4,28.411890,33.814669,1.309262
9,0.25,128,4,28.463532,32.587624,1.607088
9,0.25,256,4,28.561819,30.510653,2.170877
9,0.25,512,1,28.740525,27.884025,3.185853
9,0.5,0,1,29.433376,25.070652,1.000000
9,0.5,4,4,28.365253,30.753257,1.039353
9,0.5,8,4,28.372027,32.270173,1.078611
9,0.5,16,4,28.385536,33.123464,1.156847
9,0.5,32,4,28.412399,33.092114,1.312203
9,0.5,64,4,28.465519,32.055724,1.618524
9,0.5,128,3,28.569397,30.017555,2.214176
9,0.5,256,1,28.768177,27.287290,3.341753
9,0.5,512,1,29.133266,24.516736,5.371706
9,0.75,0,1,29.433376,25.070652,1.000000
9,0.75,4,4,28.368648,30.550042,1.059029
9,0.75,8,4,28.378812,31.907004,1.117917
9,0.75,16,4,28.399090,32.506330,1.235271
9,0.75,32,4,28.439444,32.094835,1.468304
9,0.75,64,4,28.519356,30.572079,1.927786
9,0.75,128,1,28.676069,28.096225,2.821263
9,0.75,256,1,28.977609,25.219232,4.512630
9,0.75,512,1,29.537157,22.665710,7.557559
9,1.0,0,1,29.433376,25.070652,1.000000
9,1.0,4,4,28.372043,30.349573,1.078706
9,1.0,8,4,28.385600,31.552617,1.157223
9,1.0,16,4,28.412657,31.916845,1.313694
9,1.0,32,4,28.466541,31.179893,1.624406
9,1.0,64,3,28.573401,29.299093,2.237049
9,1.0,128,1,28.783560,26.593034,3.428351
9,1.0,256,1,29.190186,23.756091,5.683507
9,1.0,512,1,29.952697,21.461410,9.743412
10,0.0,0,1,31.847585,25.793832,1.000000
10,0.0,4,4,30.018098,31.325457,1.000000
10,0.0,8,6,30.018098,33.160107,1.000000
10,0.0,16,6,30.018098,34.571723,1.000000
10,0.0,32,6,30.018098,35.503680,1.000000
10,0.0,64,6,30.018098,36.053428,1.000000
10,0.0,128,9,30.018098,36.354764,1.000000
10,0.0,256,9,30.018098,36.512963,1.000000
10,0.0,512,14,30.018098,36.594079,1.000000
10,0.25,0,1,31.847585,25.793832,1.000000
10,0.25,4,4,30.021472,31.115565,1.019676
10,0.25,8,6,30.024838,32.776015,1.039306
10,0.25,16,6,30.031548,33.887222,1.078424
10,0.25,32,6,30.044882,34.288143,1.156101
10,0.25,64,6,30.071207,33.903222,1.309262
10,0.25,128,6,30.122529,32.656361,1.607088
10,0.25,256,4,30.220165,30.552278,2.170877
10,0.25,512,1,30.397541,27.893430,3.185853
10,0.5,0,1,31.847585,25.793832,1.000000
10,0.5,4,4,30.024846,30.908550,1.039353
10,0.5,8,6,30.031580,32.401499,1.078611
10,0.5,16,6,30.045010,33.235396,1.156847
10,0.5,32,6,30.071713,33.185694,1.312203
10,0.5,64,6,30.124504,32.127126,1.618524
10,0.5,128,1,30.227689,30.059776,2.214176
10,0.5,256,1,30.424970,27.294748,3.341753
10,0.5,512,1,30.786698,24.490117,5.371706
10,0.75,0,1,31.847585,25.793832,1.000000
10,0.75,4,4,30.028221,30.704353,1.059029
10,0.75,8,6,30.038326,32.036186,1.117917
10,0.75,16,6,30.058483,32.613739,1.235271
10,0.75,32,6,30.098592,32.179850,1.468304
10,0.75,64,4,30.177990,30.629463,1.927786
10,0.75,128,1,30.333586,28.119404,2.821263
10,0.75,256,1,30.632570,25.205893,4.512630
10,0.75,512,1,31.185949,22.620642,7.557559
10,1.0,0,1,31.847585,25.793832,1.000000
10,1.0,4,4,30.031596,30.502916,1.078706
10,1.0,8,4,30.045074,31.679721,1.157223
10,1.0,16,6,30.071969,32.020001,1.313694
10,1.0,32,4,30.125519,31.257238,1.624406
10,1.0,64,1,30.231666,29.344840,2.237049
10,1.0,128,1,30.440228,26.601965,3.428351
10,1.0,256,1,30.843023,23.728922,5.683507
10,1.0,512,1,31.595692,21.405357,9.743412
11,0.0,0,1,28.834115,25.812780,1.000000
11,0.0,4,4,27.193324,29.984618,1.000000
11,0.0,8,8,27.193324,31.823743,1.000000
11,0.0,16,10,27.193324,33.235572,1.000000
11,0.0,32,14,27.193324,34.165978,1.000000
11,0.0,64,14,27.193324,34.714154,1.000000
11,0.0,128,14,27.193324,35.014418,1.000000
11,0.0,256,14,27.193324,35.171995,1.000000
11,0.0,512,14,27.193324,35.252777,1.000000
11,0.25,0,1,28.834115,25.812780,1.000000
11,0.25,4,4,27.196828,29.768517,1.019676
11,0.25,8,7,27.200324,31.427631,1.039306
11,0.25,16,10,27.207295,32.528598,1.078424
11,0.25,32,10,27.221148,32.911186,1.156101
11,0.25,64,10,27.248506,32.504538,1.309262
11,0.25,128,10,27.301868,31.251230,1.607088
11,0.25,256,4,27.403476,29.196895,2.170877
11,0.25,512,1,27.588387,26.679982,3.185853
11,0.5,0,1,28.834115,25.812780,1.000000
11,0.5,4,4,27.200333,29.555713,1.039353
11,0.5,8,4,27.207328,31.042688,1.078611
11,0.5,16,9,27.221281,31.860089,1.156847
11,0.5,32,10,27.249032,31.788787,1.312203
11,0.5,64,5,27.303921,30.724112,1.618524
11,0.5,128,4,27.411312,28.711215,2.214176
11,0.5,256,1,27.617018,26.104420,3.341753
11,0.5,512,1,27.995525,23.540567,5.371706
11,0.75,0,1,28.834115,25.812780,1.000000
11,0.75,4,4,27.203838,29.346127,1.059029
11,0.75,8,4,27.214337,30.668400,1.117917
11,0.75,16,7,27.235283,31.226569,1.235271
11,0.75,32,4,27.276975,30.776485,1.468304
11,0.75,64,4,27.359569,29.249535,1.927786
11,0.75,128,1,27.521668,26.856051,2.821263
11,0.75,256,1,27.834036,24.166260,4.512630
11,0.75,512,1,28.415320,21.846101,7.557559
11,1.0,0,1,28.834115,25.812780,1.000000
11,1.0,4,4,27.207345,29.139683,1.078706
11,1.0,8,4,27.221348,30.304284,1.157223
11,1.0,16,4,27.249299,30.624992,1.313694
11,1.0,32,4,27.304977,29.856908,1.624406
11,1.0,64,4,27.415453,28.001504,2.237049
11,1.0,128,1,27.632949,25.425745,3.428351
11,1.0,256,1,28.054618,22.810768,5.683507
11,1.0,512,1,28.848399,20.750047,9.743412
12,0.0,0,1,32.779100,26.262698,1.000000
12,0.0,4,5,31.172898,32.452241,1.000000
12,0.0,8,6,31.172898,34.328197,1.000000
12,0.0,16,6,31.172898,35.765647,1.000000
12,0.0,32,6,31.172898,36.711545,1.000000
12,0.0,64,6,31.172898,37.268307,1.000000
12,0.0,128,6,31.172898,37.573101,1.000000
12,0.0,256,6,31.172898,37.733006,1.000000
12,0.0,512,7,31.172898,37.814968,1.000000
12,0.25,0,1,32.779100,26.262698,1.000000
12,0.25,4,4,31.176401,32.233676,1.019676
12,0.25,8,6,31.179897,33.927427,1.039306
12,0.25,16,6,31.186865,35.049505,1.078424
12,0.25,32,6,31.200712,35.436339,1.156101
