g,pandas,duckdb,polars
868,warn,warn,warn
869,warn,warn,warn
870,warn,warn,warn
871,warn,warn,warn
872,warn,warn,warn
873,warn,warn,warn
874,warn,warn,warn
875,warn,warn,warn
876,warn,warn,warn
877,warn,warn,warn
878,warn,warn,warn
879,warn,warn,warn
880,warn,warn,warn
881,warn,warn,warn
882,warn,warn,warn
883,warn,warn,warn
884,warn,warn,warn
885,warn,warn,warn
886,warn,warn,warn
887,warn,warn,warn
888,warn,warn,warn
889,warn,warn,warn
890,warn,warn,warn
891,warn,warn,warn
892,warn,warn,warn
893,warn,warn,warn
894,warn,warn,warn
895,warn,warn,warn
896,warn,warn,warn
897,warn,warn,warn
898,warn,warn,warn
899,warn,warn,warn
900,warn,warn,warn
901,warn,warn,warn
902,warn,warn,warn
903,warn,warn,warn
904,warn,warn,warn
905,warn,warn,warn
906,warn,warn,warn
907,warn,warn,warn
908,warn,warn,warn
909,warn,warn,warn
910,warn,warn,warn
911,warn,warn,warn
912,warn,warn,warn
913,warn,warn,warn
914,warn,warn,warn
915,warn,warn,warn
916,warn,warn,warn
917,warn,warn,warn
918,warn,warn,warn
919,warn,warn,warn
920,warn,warn,warn
921,warn,warn,warn
922,warn,warn,warn
923,warn,warn,warn
924,warn,warn,warn
925,warn,warn,warn
926,warn,warn,warn
927,warn,warn,warn
928,warn,warn,warn
929,warn,warn,warn
930,warn,warn,warn
931,warn,warn,warn
932,warn,warn,warn
933,warn,warn,warn
934,warn,warn,warn
935,warn,warn,warn
936,warn,warn,warn
937,warn,warn,warn
938,warn,warn,warn
939,warn,warn,warn
940,warn,warn,warn
941,warn,warn,warn
942,warn,warn,warn
943,warn,warn,warn
944,warn,warn,warn
945,warn,warn,warn
946,warn,warn,warn
947,warn,warn,warn
948,warn,warn,warn
949,warn,warn,warn
950,warn,warn,warn
951,warn,warn,warn
952,warn,warn,warn
953,warn,warn,warn
954,warn,warn,warn
955,warn,warn,warn
956,warn,warn,warn
957,warn,warn,warn
958,warn,warn,warn
959,warn,warn,warn
960,warn,warn,warn
961,warn,warn,warn
962,warn,warn,warn
963,warn,warn,warn
964,warn,warn,warn
965,warn,warn,warn
966,warn,warn,warn
967,warn,warn,warn
968,warn,warn,warn
969,warn,warn,warn
970,warn,warn,warn
971,warn,warn,warn
972,warn,warn,warn
973,warn,warn,warn
974,warn,warn,warn
975,warn,warn,warn
976,warn,warn,warn
977,warn,warn,warn
978,warn,warn,warn
979,warn,warn,warn
980,warn,warn,warn
981,warn,warn,warn
982,warn,warn,warn
983,warn,warn,warn
984,warn,warn,warn
985,warn,warn,warn
986,warn,warn,warn
987,warn,warn,warn
988,warn,warn,warn
989,warn,warn,warn
990,warn,warn,warn
991,warn,warn,warn
992,warn,warn,warn
993,warn,warn,warn
994,warn,warn,warn
995,warn,warn,warn
996,warn,warn,warn
997,warn,warn,warn
998,warn,warn,warn
999,warn,warn,warn
1000,warn,warn,warn
1001,warn,warn,warn
1002,warn,warn,warn
1003,warn,warn,warn
1004,warn,warn,warn
1005,warn,warn,warn
1006,warn,warn,warn
1007,warn,warn,warn
1008,warn,warn,warn
1009,warn,warn,warn
1010,warn,warn,warn
1011,warn,warn,warn
1012,warn,warn,warn
1013,warn,warn,warn
1014,warn,warn,warn
1015,warn,warn,warn
1016,warn,warn,warn
1017,warn,warn,warn
1018,warn,warn,warn
1019,warn,warn,warn
1020,warn,warn,warn
1021,warn,warn,warn
1022,warn,warn,warn
1023,warn,warn,warn
1024,warn,warn,warn
1025,warn,warn,warn
1026,warn,warn,warn
1027,warn,warn,warn
1028,warn,warn,warn
1029,warn,warn,warn
1030,warn,warn,warn
1031,warn,warn,warn
1032,warn,warn,warn
1033,warn,warn,warn
1034,warn,warn,warn
1035,warn,warn,warn
1036,warn,warn,warn
1037,warn,warn,warn
1038,warn,warn,warn
1039,warn,warn,warn
1040,warn,warn,warn
1041,warn,warn,warn
1042,warn,warn,warn
1043,warn,warn,warn
1044,warn,warn,warn
1045,warn,warn,warn
1046,warn,warn,warn
1047,warn,warn,warn
1048,warn,warn,warn
1049,warn,warn,warn
1050,warn,warn,warn
1051,warn,warn,warn
1052,warn,warn,warn
1053,warn,warn,warn
1054,warn,warn,warn
1055,warn,warn,warn
1056,warn,warn,warn
1057,warn,warn,warn
1058,warn,warn,warn
1059,warn,warn,warn
1060,warn,warn,warn
1061,warn,warn,warn
1062,warn,warn,warn
1063,warn,warn,warn
1064,warn,warn,warn
1065,warn,warn,warn
1066,warn,warn,warn
1067,warn,warn,warn
