item,in_degree,density_kth,denom,num_miss,miss_rate
1234,12,2.028855,3,0,0.000000
1237,10,6.662373,2,1,0.500000
1238,14,9.222982,2,0,0.000000
1241,20,1.272050,2,0,0.000000
1248,6,0.935922,2,2,1.000000
1249,12,1.370013,2,0,0.000000
1250,23,1.918138,2,1,0.500000
1253,12,6.936845,5,0,0.000000
1254,12,9.366099,3,0,0.000000
1255,22,12.207461,5,0,0.000000
1257,11,1.433728,2,0,0.000000
1259,13,2.958324,5,3,0.600000
1261,8,7.862911,2,0,0.000000
1263,6,15.858671,2,1,0.500000
1268,7,5.564877,2,0,0.000000
1270,13,9.246012,3,0,0.000000
1271,16,14.163984,2,0,0.000000
1272,17,0.772832,4,1,0.250000
1273,8,1.524055,2,0,0.000000
1278,9,7.888487,5,0,0.000000
1283,15,3.125173,2,2,1.000000
1285,6,8.140089,2,0,0.000000
1286,9,9.164947,2,0,0.000000
1290,17,2.188729,2,1,0.500000
1293,13,6.758901,3,0,0.000000
1296,10,0.892317,2,0,0.000000
1297,14,1.454287,2,1,0.500000
1299,17,3.195613,3,2,0.666667
1309,9,7.233181,3,0,0.000000
1312,9,0.979762,2,2,1.000000
1321,10,1.301293,5,1,0.200000
1326,9,9.377548,3,0,0.000000
1327,9,15.264057,2,0,0.000000
1330,13,2.009130,2,0,0.000000
1331,15,3.156119,2,2,1.000000
1336,16,0.838515,2,1,0.500000
1337,5,1.463496,2,0,0.000000
1338,6,2.314771,4,1,0.250000
1339,11,3.172476,2,1,0.500000
1340,13,5.137728,2,0,0.000000
1341,12,7.276929,2,0,0.000000
1342,6,11.236314,3,0,0.000000
1343,5,15.447696,3,0,0.000000
1344,14,0.775727,4,0,0.000000
1345,13,1.246612,4,0,0.000000
1346,14,2.322240,2,0,0.000000
1347,8,3.277331,5,5,1.000000
1348,12,5.672577,2,2,1.000000
1349,10,7.227369,2,1,0.500000
1351,12,14.989415,2,0,0.000000
1358,15,8.285438,3,0,0.000000
1360,15,0.758150,7,0,0.000000
1361,8,1.573597,2,0,0.000000
1364,23,4.406553,7,0,0.000000
1365,8,8.624043,2,1,0.500000
1367,16,12.360660,2,1,0.500000
1371,13,3.362335,2,0,0.000000
1375,13,13.625499,2,0,0.000000
1382,11,9.492694,2,0,0.000000
1383,15,10.878498,4,0,0.000000
1386,14,2.231023,2,0,0.000000
1387,11,4.015180,3,3,1.000000
1389,12,6.403154,4,0,0.000000
1393,7,1.396862,4,0,0.000000
1397,13,7.787593,2,0,0.000000
1398,18,10.814425,2,0,0.000000
1405,10,7.646972,2,0,0.000000
1408,11,0.896295,4,0,0.000000
1410,5,2.213003,3,1,0.333333
1415,20,11.062353,3,0,0.000000
1426,13,2.156883,3,0,0.000000
1427,11,2.971686,4,2,0.500000
1429,13,6.813552,4,0,0.000000
1431,5,13.400174,2,1,0.500000
1434,11,2.166035,3,1,0.333333
1435,7,3.171889,2,2,1.000000
1438,23,7.949932,3,0,0.000000
1439,10,12.623361,3,0,0.000000
1442,13,1.968129,3,1,0.333333
1444,10,5.908857,3,0,0.000000
1445,19,6.070483,2,0,0.000000
1447,10,13.888431,3,0,0.000000
1449,15,1.219546,3,0,0.000000
1452,9,4.425536,5,0,0.000000
1456,8,0.804502,2,0,0.000000
1457,22,1.223664,4,0,0.000000
1458,14,2.178080,3,0,0.000000
1466,12,2.382001,2,0,0.000000
1467,8,3.337058,3,1,0.333333
1468,11,4.481516,7,0,0.000000
1469,6,7.731077,2,1,0.500000
1482,14,2.092332,4,1,0.250000
1483,16,3.063149,3,2,0.666667
1485,12,7.194453,3,0,0.000000
1488,8,0.840542,2,0,0.000000
1491,4,3.366482,4,1,0.250000
1493,9,6.653482,2,0,0.000000
1494,12,8.984490,2,0,0.000000
1516,11,5.508724,2,0,0.000000
1517,16,6.391800,2,0,0.000000
1520,20,0.722183,4,0,0.000000
1525,5,7.965447,2,0,0.000000
