img,variant,klass,pixel_identical,max_abs_diff,vllm_prod_hit,vllm_prod_sha_hit,vllm_pil_hit,sglang_hit
img_0023.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0023.png,Y1_jpeg_q90,lossy,0,8,0,0,0,0
img_0023.png,Y2_jpeg_q95,lossy,0,7,0,0,0,0
img_0023.png,Y3_resize99,lossy,0,4,0,0,0,0
img_0024.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0024.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0024.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0024.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0024.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0024.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0024.png,Y1_jpeg_q90,lossy,0,6,0,0,0,0
img_0024.png,Y2_jpeg_q95,lossy,0,5,0,0,0,0
img_0024.png,Y3_resize99,lossy,0,3,0,0,0,0
img_0025.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0025.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0025.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0025.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0025.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0025.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0025.png,Y1_jpeg_q90,lossy,0,6,0,0,0,0
img_0025.png,Y2_jpeg_q95,lossy,0,5,0,0,0,0
img_0025.png,Y3_resize99,lossy,0,2,0,0,0,0
img_0026.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0026.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0026.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0026.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0026.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0026.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0026.png,Y1_jpeg_q90,lossy,0,5,0,0,0,0
img_0026.png,Y2_jpeg_q95,lossy,0,4,0,0,0,0
img_0026.png,Y3_resize99,lossy,0,2,0,0,0,0
img_0027.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0027.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0027.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0027.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0027.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0027.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0027.png,Y1_jpeg_q90,lossy,0,7,0,0,0,0
img_0027.png,Y2_jpeg_q95,lossy,0,7,0,0,0,0
img_0027.png,Y3_resize99,lossy,0,4,0,0,0,0
img_0028.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0028.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0028.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0028.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0028.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0028.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0028.png,Y1_jpeg_q90,lossy,0,6,0,0,0,0
img_0028.png,Y2_jpeg_q95,lossy,0,4,0,0,0,0
img_0028.png,Y3_resize99,lossy,0,3,0,0,0,0
img_0029.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0029.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0029.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0029.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0029.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0029.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0029.png,Y1_jpeg_q90,lossy,0,12,0,0,0,0
img_0029.png,Y2_jpeg_q95,lossy,0,10,0,0,0,0
img_0029.png,Y3_resize99,lossy,0,4,0,0,0,0
img_0030.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0030.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0030.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0030.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0030.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0030.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0030.png,Y1_jpeg_q90,lossy,0,9,0,0,0,0
img_0030.png,Y2_jpeg_q95,lossy,0,7,0,0,0,0
img_0030.png,Y3_resize99,lossy,0,3,0,0,0,0
img_0031.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0031.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0031.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0031.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0031.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0031.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
img_0031.png,Y1_jpeg_q90,lossy,0,6,0,0,0,0
img_0031.png,Y2_jpeg_q95,lossy,0,4,0,0,0,0
img_0031.png,Y3_resize99,lossy,0,2,0,0,0,0
img_0032.png,L1_png_reopt,lossless,1,0,0,0,1,1
img_0032.png,L1b_png_recompress0,lossless,1,0,0,0,1,1
img_0032.png,L2_exif_strip,lossless,1,0,0,0,1,1
img_0032.png,L3_lossless_webp,lossless,1,0,0,0,1,1
img_0032.png,L4_base64_rewrap,lossless,1,0,1,1,1,1
img_0032.png,L5_client_resave_tiff,lossless,1,0,0,0,1,1
