seed,restore_rate,paraphrase_rate,horizon,cap,thr,amplification_rate,growth_nodedup_uncapped,recall_nodedup_uncapped,size_sizecap,recall_sizecap,size_dedup,recall_dedup,size_oracle,recall_oracle,dedup_minus_sizecap_recall,oracle_minus_dedup_recall,gate_prec,gate_rec,skipped_false,skipped_true
1,0.6,0.0,long,120,0.3,0.75,1000,1.0,120,0.515,115,0.71,120,0.555,0.195,-0.155,0.4599,1.0,478,407
1,0.6,0.0,long,120,0.5,0.75,1000,1.0,120,0.515,120,0.57,120,0.555,0.055,-0.015,0.9038,1.0,56,526
1,0.6,0.0,long,120,0.7,0.75,1000,1.0,120,0.515,120,0.575,120,0.555,0.06,-0.02,1.0,0.9865,0,512
1,0.6,0.0,long,200,0.3,0.75,1000,1.0,200,0.615,115,0.71,200,0.785,0.095,0.075,0.4599,1.0,478,407
1,0.6,0.0,long,200,0.5,0.75,1000,1.0,200,0.615,200,0.695,200,0.785,0.08,0.09,0.9066,1.0,68,660
1,0.6,0.0,long,200,0.7,0.75,1000,1.0,200,0.615,200,0.775,200,0.785,0.16,0.01,0.997,0.9985,2,672
1,0.6,0.0,short,120,0.3,0.75,1000,1.0,120,0.38,115,0.27,120,0.495,-0.11,0.225,0.4599,1.0,478,407
1,0.6,0.0,short,120,0.5,0.75,1000,1.0,120,0.38,120,0.455,120,0.495,0.075,0.04,0.9038,1.0,56,526
1,0.6,0.0,short,120,0.7,0.75,1000,1.0,120,0.38,120,0.48,120,0.495,0.1,0.015,1.0,0.9865,0,512
1,0.6,0.0,short,200,0.3,0.75,1000,1.0,200,0.51,115,0.27,200,1.0,-0.24,0.73,0.4599,1.0,478,407
1,0.6,0.0,short,200,0.5,0.75,1000,1.0,200,0.51,200,0.9,200,1.0,0.39,0.1,0.9066,1.0,68,660
1,0.6,0.0,short,200,0.7,0.75,1000,1.0,200,0.51,200,1.0,200,1.0,0.49,0.0,0.997,0.9985,2,672
1,0.6,0.3,long,120,0.3,0.75,1000,1.0,120,0.39,120,0.535,120,0.505,0.145,-0.03,0.4657,0.8867,413,360
1,0.6,0.3,long,120,0.5,0.75,1000,1.0,120,0.39,120,0.475,120,0.505,0.085,0.03,0.8372,0.7588,63,324
