band,source,original,parsed,survived,zod_passed
above,rand_above,6131978115552160169,6131978115552159744,0,1
above,rand_above,5720680000408545655,5720680000408545280,0,1
above,rand_above,870352055704675803,870352055704675840,0,1
above,rand_above,8789654216911368996,8789654216911369216,0,1
above,rand_above,2175287650297747140,2175287650297747200,0,1
above,rand_above,2872121401970284096,2872121401970284032,0,1
above,rand_above,7448236881579478271,7448236881579478016,0,1
above,rand_above,1368107634803748328,1368107634803748352,0,1
above,rand_above,435253532069772815,435253532069772800,0,1
above,rand_above,9084215174825377842,9084215174825377792,0,1
above,rand_above,5647014460131543299,5647014460131543040,0,1
above,rand_above,7097070295034915037,7097070295034914816,0,1
above,rand_above,4209479932245761776,4209479932245761536,0,1
above,rand_above,8182177605652893260,8182177605652893696,0,1
above,rand_above,5318634086115855836,5318634086115855360,0,1
above,rand_above,6634578782038950380,6634578782038949888,0,1
above,rand_above,3550583474421515687,3550583474421515776,0,1
above,rand_above,3695154228810973333,3695154228810973184,0,1
above,rand_above,1370112581564744628,1370112581564744704,0,1
above,rand_above,6351204564182723305,6351204564182723584,0,1
above,rand_above,8242340827174232711,8242340827174233088,0,1
above,rand_above,7945170651596141880,7945170651596141568,0,1
above,rand_above,8175982228524875565,8175982228524875776,0,1
above,rand_above,7188668234731179541,7188668234731180032,0,1
above,rand_above,2027460423667048851,2027460423667048960,0,1
above,rand_above,7425611552000501967,7425611552000501760,0,1
above,rand_above,6427660412186870576,6427660412186870784,0,1
above,rand_above,4293723660379283731,4293723660379283968,0,1
above,rand_above,5150168247753710756,5150168247753710592,0,1
above,rand_above,8471174426598798662,8471174426598798336,0,1
above,rand_above,1128342728970375719,1128342728970375680,0,1
above,rand_above,1238843323756228287,1238843323756228352,0,1
above,rand_above,4294584665100624751,4294584665100624896,0,1
above,rand_above,4907834143886696385,4907834143886696448,0,1
above,rand_above,5164183108024960260,5164183108024960000,0,1
above,rand_above,2935564283417694245,2935564283417694208,0,1
above,rand_above,6974959036596079523,6974959036596079616,0,1
above,rand_above,4091026558804065617,4091026558804065792,0,1
above,rand_above,7526115420690368594,7526115420690368512,0,1
above,rand_above,8236442255299335816,8236442255299336192,0,1
above,rand_above,3944995968272376899,3944995968272376832,0,1
above,rand_above,8373265779090533971,8373265779090534400,0,1
above,rand_above,4121834293318211099,4121834293318211072,0,1
above,rand_above,1476979763060895289,1476979763060895232,0,1
above,rand_above,7954895264976745463,7954895264976745472,0,1
above,rand_above,4160168048646701960,4160168048646702080,0,1
above,rand_above,6942924204007907487,6942924204007907328,0,1
above,rand_above,7755375056779942512,7755375056779942912,0,1
above,rand_above,2566752933630560175,2566752933630560256,0,1
above,rand_above,7181791548245040529,7181791548245040128,0,1
above,rand_above,4478625786352625555,4478625786352625664,0,1
above,rand_above,2215660844857071081,2215660844857071104,0,1
above,rand_above,4066115818852451503,4066115818852451328,0,1
above,rand_above,6590296968635216631,6590296968635216896,0,1
above,rand_above,2171828735041698545,2171828735041698560,0,1
above,rand_above,3106654007910670105,3106654007910670336,0,1
above,rand_above,8245725941357640804,8245725941357640704,0,1
above,rand_above,752204927975516807,752204927975516800,0,1
above,rand_above,1400174504619834247,1400174504619834368,0,1
above,rand_above,3541884196554535896,3541884196554535936,0,1
above,rand_above,1418386980817252849,1418386980817252864,0,1
above,rand_above,1982374207548809870,1982374207548809984,0,1
above,rand_above,3835488164486663505,3835488164486663680,0,1
above,rand_above,3060849337628651194,3060849337628651008,0,1
above,rand_above,4306400419668070491,4306400419668070400,0,1
above,rand_above,583307060808003119,583307060808003072,0,1
above,rand_above,7691072322374146364,7691072322374146048,0,1
above,rand_above,3601296703309645471,3601296703309645312,0,1
above,rand_above,7109120027883961985,7109120027883962368,0,1
above,rand_above,8734889306956905078,8734889306956905472,0,1
above,rand_above,189157659852524398,189157659852524384,0,1
above,rand_above,8131631288497130072,8131631288497130496,0,1
above,rand_above,5318813487483191683,5318813487483191296,0,1
