K,skew,lname,lam,B,regime,cap_blocks,W,fcfs_recomp_mean,fcfs_recomp_std,pfa_recomp_mean,pfa_recomp_std,delta_mean,ci_lo,ci_hi,fcfs_hit,pfa_hit,fcfs_p99,pfa_p99,fair_ratio,fcfs_mean_wait,pfa_mean_wait
16,0.0,heavy,25.6,16,few,1024,1000000000,201728,4541.144642781891,44714.666666666664,10268.40504763141,-157013.33333333334,-164181.33333333334,-149162.66666666666,0.6716666666666666,0.9272222222222222,6.609691284205594,13.068557292153697,1.9771811920145348,3.1211765149671273,3.121176514967127
16,0.0,heavy,25.6,16,all,2048,1000000000,32768,0.0,32768,0.0,0,0.0,0.0,0.9466666666666667,0.9466666666666667,6.609691284205594,14.655500077402309,2.217274521190247,3.1211765149671273,3.121176514967127
16,1.0,light,2.4,4,one,128,1000000000,393898.6666666667,15126.88285433879,388096,13468.617152477087,-5802.666666666667,-9557.333333333334,-2730.6666666666665,0.3588888888888889,0.36833333333333335,0.7892104137290398,1.051014207340998,1.3317287621369926,0.09131950205833847,0.09131950205833848
16,1.0,light,2.4,4,few,1024,1000000000,174080,9678.470402565341,172032,9234.943493781288,-2048,-4096.0,-341.3333333333333,0.7166666666666667,0.72,0.7892104137290398,1.1082492849413275,1.404250711422852,0.09131950205833847,0.09131950205833848
16,1.0,light,2.4,4,all,2048,1000000000,32768,0.0,32768,0.0,0,0.0,0.0,0.9466666666666667,0.9466666666666667,0.7892104137290398,0.7496998710331321,0.9499366176515344,0.09131950205833847,0.09131950205833848
16,1.0,light,9.6,16,one,128,1000000000,209578.66666666666,12154.534444212808,209237.33333333334,12812.509442814948,-341.3333333333333,-1024.0,0.0,0.6588888888888889,0.6594444444444444,0.07490934556700542,0.06938148449523525,0.926205988986707,0.0026127343441787877,0.0026127343441787877
16,1.0,light,9.6,16,few,1024,1000000000,165546.66666666666,8055.755927009926,165205.33333333334,8416.47991872031,-341.3333333333333,-1024.0,0.0,0.7305555555555555,0.731111111111111,0.07490934556700542,0.06938148449523525,0.926205988986707,0.0026127343441787877,0.0026127343441787877
16,1.0,light,9.6,16,all,2048,1000000000,32768,0.0,32768,0.0,0,0.0,0.0,0.9466666666666667,0.9466666666666667,0.07490934556700542,0.07490934556700542,1.0,0.0026127343441787877,0.0026127343441787877
16,1.0,heavy,6.4,4,one,128,1000000000,349184,13416.614575468233,75434.66666666667,7609.513577679515,-273749.3333333333,-289450.6666666667,-258048.0,0.43166666666666664,0.8772222222222222,26.690634437630035,45.13029343127943,1.6908662675943018,12.821459820740374,12.821459820740372
16,1.0,heavy,6.4,4,few,1024,1000000000,174080,9678.470402565341,34133.333333333336,1930.8729171600658,-139946.66666666666,-148138.66666666666,-130730.66666666667,0.7166666666666667,0.9444444444444444,26.690634437630035,58.73245463130183,2.2004892678196266,12.821459820740374,12.821459820740369
16,1.0,heavy,6.4,4,all,2048,1000000000,32768,0.0,32768,0.0,0,0.0,0.0,0.9466666666666667,0.9466666666666667,26.690634437630035,58.872026881994366,2.2057185272071727,12.821459820740374,12.821459820740367
16,1.0,heavy,25.6,16,one,128,1000000000,150186.66666666666,6330.7902262584,34816,3128.371674423187,-115370.66666666667,-121173.33333333333,-110250.66666666667,0.7555555555555555,0.9433333333333334,6.609691284205594,14.590832822924959,2.2074908184881443,3.1211765149671273,3.121176514967127
16,1.0,heavy,25.6,16,few,1024,1000000000,147114.66666666666,6077.267222106404,34816,3128.371674423187,-112298.66666666667,-118101.33333333333,-106496.0,0.7605555555555555,0.9433333333333334,6.609691284205594,14.590832822924959,2.2074908184881443,3.1211765149671273,3.121176514967127
16,1.0,heavy,25.6,16,all,2048,1000000000,32768,0.0,32768,0.0,0,0.0,0.0,0.9466666666666667,0.9466666666666667,6.609691284205594,14.636680716094423,2.2144272836266934,3.1211765149671273,3.121176514967127
