p_constrained,p_prose,gap,f,r,best_fixed_k,tps_best_fixed,adapt_kc,adapt_kp,tps_adaptive,gain_pct,spd_fixed_vs_nospec,spd_adapt_vs_nospec
0.97,0.65,0.32,0.35,0.35,2,1.35579,9,1,1.43314,5.705,1.3558,1.4331
0.97,0.65,0.32,0.5,0.05,7,2.96152,29,5,3.35631,13.331,2.9615,3.3563
0.97,0.65,0.32,0.5,0.1,5,2.3888,21,3,2.68706,12.486,2.3888,2.6871
0.97,0.65,0.32,0.5,0.2,4,1.82657,14,2,2.02767,11.01,1.8266,2.0277
0.97,0.65,0.32,0.5,0.35,2,1.42422,9,1,1.54759,8.662,1.4242,1.5476
0.97,0.65,0.32,0.6,0.05,9,3.27686,29,5,3.80375,16.079,3.2769,3.8037
0.97,0.65,0.32,0.6,0.1,6,2.59381,21,3,2.97786,14.807,2.5938,2.9779
0.97,0.65,0.32,0.6,0.2,4,1.94389,14,2,2.18958,12.639,1.9439,2.1896
0.97,0.65,0.32,0.6,0.35,3,1.4902,9,1,1.63462,9.692,1.4902,1.6346
0.97,0.75,0.22,0.05,0.05,7,2.73479,29,7,2.75915,0.891,2.7348,2.7592
0.97,0.75,0.22,0.05,0.1,5,2.23787,21,5,2.25782,0.892,2.2379,2.2578
0.97,0.75,0.22,0.05,0.2,3,1.73368,14,3,1.75,0.942,1.7337,1.75
0.97,0.75,0.22,0.05,0.35,2,1.37442,9,2,1.38488,0.761,1.3744,1.3849
0.97,0.75,0.22,0.1,0.05,7,2.80686,29,7,2.85867,1.846,2.8069,2.8587
0.97,0.75,0.22,0.1,0.1,5,2.28564,21,5,2.32765,1.838,2.2856,2.3277
0.97,0.75,0.22,0.1,0.2,3,1.75909,14,3,1.79304,1.93,1.7591,1.793
0.97,0.75,0.22,0.1,0.35,2,1.38884,9,2,1.41036,1.549,1.3888,1.4104
0.97,0.75,0.22,0.2,0.05,7,2.96302,29,7,3.08092,3.979,2.963,3.0809
0.97,0.75,0.22,0.2,0.1,5,2.38756,21,5,2.48113,3.919,2.3876,2.4811
