M,B,Dmean,Wmean,wait_dist,rho,seed,policy,util,ceiling,residual_idle,throughput,p50,p99,nbursts
4,4,8,50,lognormal-heavytail,0.0,1,cb,0.15850,0.15850,0.00000,0.63400,5,36,344
4,4,8,50,lognormal-heavytail,0.0,1,stepaware,0.15850,0.15850,0.00000,0.63400,5,36,344
4,4,8,50,lognormal-heavytail,0.0,2,serial,0.11600,0.17031,0.05431,0.46400,8,47,235
4,4,8,50,lognormal-heavytail,0.0,2,cb,0.12575,0.12575,0.00000,0.50300,5,35,261
4,4,8,50,lognormal-heavytail,0.0,2,stepaware,0.12575,0.12575,0.00000,0.50300,5,35,261
4,4,8,50,lognormal-heavytail,0.0,3,serial,0.13069,0.19806,0.06737,0.52275,7,46,291
4,4,8,50,lognormal-heavytail,0.0,3,cb,0.13675,0.13675,0.00000,0.54700,5,38,306
4,4,8,50,lognormal-heavytail,0.0,3,stepaware,0.13675,0.13675,0.00000,0.54700,5,38,306
4,4,8,50,lognormal-heavytail,0.0,4,serial,0.10719,0.14544,0.03825,0.42875,8,49,227
4,4,8,50,lognormal-heavytail,0.0,4,cb,0.11388,0.11388,0.00000,0.45550,6,36,236
4,4,8,50,lognormal-heavytail,0.0,4,stepaware,0.11388,0.11388,0.00000,0.45550,6,36,236
4,4,8,50,lognormal-heavytail,0.5,0,serial,0.15306,0.25838,0.10531,0.61225,10,44,309
4,4,8,50,lognormal-heavytail,0.5,0,cb,0.16950,0.16950,0.00000,0.67800,5,39,345
4,4,8,50,lognormal-heavytail,0.5,0,stepaware,0.16950,0.16950,0.00000,0.67800,5,39,345
4,4,8,50,lognormal-heavytail,0.5,1,serial,0.12837,0.18975,0.06138,0.51350,6,53,311
4,4,8,50,lognormal-heavytail,0.5,1,cb,0.13975,0.13975,0.00000,0.55900,4,32,335
4,4,8,50,lognormal-heavytail,0.5,1,stepaware,0.13975,0.13975,0.00000,0.55900,4,32,335
4,4,8,50,lognormal-heavytail,0.5,2,serial,0.15831,0.32481,0.16650,0.63325,12,63,317
4,4,8,50,lognormal-heavytail,0.5,2,cb,0.19044,0.19044,0.00000,0.76175,5,43,374
4,4,8,50,lognormal-heavytail,0.5,2,stepaware,0.19044,0.19044,0.00000,0.76175,5,43,374
4,4,8,50,lognormal-heavytail,0.5,3,serial,0.15369,0.27644,0.12275,0.61475,9,65,314
4,4,8,50,lognormal-heavytail,0.5,3,cb,0.18588,0.18588,0.00000,0.74350,5,39,372
4,4,8,50,lognormal-heavytail,0.5,3,stepaware,0.18588,0.18588,0.00000,0.74350,5,39,372
