seed,frac_missing,model,encoder,n_overlap,r2_ctrl,r2_seam,dR2,code_diff_frac
2,0.2,hgb,dictencode,32,0.7981847616557302,-0.47582684401725106,1.2740116056729813,0.78125
3,0.2,hgb,dictencode,30,0.794170854477716,-0.07839127370177956,0.8725621281794955,0.6666666666666666
4,0.2,hgb,dictencode,32,0.7880992604758461,-0.31746883912088664,1.1055680995967327,0.625
5,0.2,hgb,dictencode,33,0.7569060360520792,-0.38508585067732515,1.1419918867294043,0.696969696969697
6,0.2,hgb,dictencode,31,0.8157514513438132,-0.3784668828225499,1.1942183341663632,0.8064516129032258
7,0.2,hgb,dictencode,33,0.7718825450817328,-0.00873016056796927,0.7806127056497021,0.696969696969697
8,0.2,hgb,dictencode,32,0.8375159891012203,0.23930453260846674,0.5982114564927535,0.53125
9,0.2,hgb,dictencode,33,0.7777963469805269,-1.023705754601873,1.8015021015824,0.8787878787878788
10,0.2,hgb,dictencode,32,0.700160917745944,0.002998984557681439,0.6971619331882626,0.65625
11,0.2,hgb,dictencode,32,0.7610911594987049,-0.14239204905484204,0.9034832085535469,0.75
0,0.4,hgb,dictencode,15,0.7315644207827354,-0.026859388738256662,0.7584238095209921,0.7333333333333333
1,0.4,hgb,dictencode,18,0.6959125100052566,-0.9603174036872153,1.6562299136924719,0.8333333333333334
2,0.4,hgb,dictencode,20,0.8000075751424147,-0.546223201351627,1.3462307764940418,0.8
3,0.4,hgb,dictencode,17,0.742448105319105,-0.8403214256335587,1.5827695309526637,0.8235294117647058
4,0.4,hgb,dictencode,19,0.7747759574726982,-0.39225437251421513,1.1670303299869134,0.8421052631578947
5,0.4,hgb,dictencode,18,0.7719049460969337,-0.6596796118142836,1.4315845579112172,0.6111111111111112
6,0.4,hgb,dictencode,17,0.7260308461359881,-1.7247041650101447,2.450735011146133,0.7647058823529411
7,0.4,hgb,dictencode,19,0.6862380044663479,-0.6755482384804987,1.3617862429468466,0.8421052631578947
8,0.4,hgb,dictencode,19,0.8098932049274629,-1.0020583052789478,1.8119515102064105,0.6842105263157895
9,0.4,hgb,dictencode,22,0.7307764058599403,-0.7751668666671658,1.505943272527106,0.6818181818181818
10,0.4,hgb,dictencode,18,0.6220412948486678,-0.038446230034999695,0.6604875248836675,0.6111111111111112
11,0.4,hgb,dictencode,18,0.7430759136482413,-0.5009812259455544,1.2440571395937958,0.6666666666666666
0,0.6,hgb,dictencode,8,0.790999681323924,0.08212024985727862,0.7088794314666453,0.625
1,0.6,hgb,dictencode,10,0.769239698836946,-1.133562896749679,1.9028025955866248,0.7
2,0.6,hgb,dictencode,9,0.6456527906761393,-0.5690250726263402,1.2146778633024795,0.4444444444444444
3,0.6,hgb,dictencode,5,0.6040986869898264,0.3045802122889082,0.2995184747009182,0.6
4,0.6,hgb,dictencode,8,0.7666741882078179,-0.11406010156696755,0.8807342897747854,0.75
5,0.6,hgb,dictencode,7,0.8202655276570083,-0.1405286284424112,0.9607941560994195,0.5714285714285714
6,0.6,hgb,dictencode,8,0.7380674188654817,-0.27395211967555033,1.012019538541032,0.75
7,0.6,hgb,dictencode,7,0.7806448512825648,-0.24792453308512608,1.0285693843676909,0.8571428571428571
8,0.6,hgb,dictencode,8,0.7033315750976745,-0.8769895940665593,1.5803211691642338,0.625
9,0.6,hgb,dictencode,10,0.5709397688007565,-1.3217859865607782,1.8927257553615346,0.9
10,0.6,hgb,dictencode,7,0.5968253921727353,0.11081497606467094,0.4860104161080644,0.8571428571428571
11,0.6,hgb,dictencode,7,0.7572339151341152,0.16975749193993928,0.5874764231941759,0.8571428571428571
0,0.4,rf,astype,15,0.7315276909893593,-0.024990864335971086,0.7565185553253304,0.7333333333333333
1,0.4,rf,astype,18,0.6959667578804968,-0.9628377879858991,1.658804545866396,0.8333333333333334
2,0.4,rf,astype,20,0.7999668238080941,-0.5453311614389043,1.3452979852469984,0.8
3,0.4,rf,astype,17,0.7425088927296883,-0.8378094288479125,1.5803183215776009,0.8235294117647058
4,0.4,rf,astype,19,0.7746763246208378,-0.3919049310249545,1.1665812556457924,0.8421052631578947
5,0.4,rf,astype,18,0.771887734710973,-0.6562658531722125,1.4281535878831857,0.6111111111111112
6,0.4,rf,astype,17,0.7261988949594541,-1.7204598101747925,2.4466587051342468,0.7647058823529411
7,0.4,rf,astype,19,0.6861305198082339,-0.6776338130855206,1.3637643328937545,0.8421052631578947
8,0.4,rf,astype,19,0.8099311931333204,-1.0004855999090836,1.810416793042404,0.6842105263157895
9,0.4,rf,astype,22,0.7307952083280653,-0.7752368065804054,1.5060320149084707,0.6818181818181818
