frac,sigma,rho,seed,fail_rate,auc_mon,auc_conf,auc_diff,auc_oracle,d_mon_conf,d_mon_diff,med_lead_mon,med_lead_conf,frac_mon_early,n_fail
0.5,0.8,0.0,5,0.58,0.7090004105090312,0.7315784072249589,0.6560704022988506,0.8397731937602627,-0.02257799671592775,0.05293000821018057,2.0,2.0,0.4051724137931034,232
0.5,0.8,0.0,6,0.6,0.7270833333333333,0.71796875,0.6397395833333334,0.8138802083333333,0.00911458333333326,0.08734374999999994,2.0,2.0,0.4125,240
0.5,0.8,0.0,7,0.565,0.7406927067439731,0.7538144644491913,0.6214271182992575,0.8453616112297834,-0.013121757705218173,0.11926558844471569,3.0,2.0,0.42920353982300885,226
0.5,0.8,0.6,0,0.575,0.69,0.6993606138107417,0.6122762148337596,0.8193350383631713,-0.009360613810741714,0.07772378516624034,2,2.0,0.391304347826087,230
0.5,0.8,0.6,1,0.5775,0.728066804989882,0.7247368016598786,0.6526294218601911,0.8273009042239812,0.0033300033300033283,0.07543738312969084,3.0,1.0,0.4155844155844156,231
0.5,0.8,0.6,2,0.6075,0.744017194831066,0.7481324211685146,0.6694188881025399,0.8736337186443344,-0.004115226337448652,0.07459830672852608,2.0,1,0.3786008230452675,243
0.5,0.8,0.6,3,0.58,0.7424055829228243,0.7401477832512315,0.6497075123152709,0.8396705665024631,0.002257799671592786,0.09269807060755342,3,1.0,0.4482758620689655,232
0.5,0.8,0.6,4,0.5425,0.7540479967767117,0.7686283397547279,0.6625368285865377,0.8713706529676916,-0.014580342978016136,0.09151116819017402,3.0,2,0.511520737327189,217
0.5,0.8,0.6,5,0.5925,0.726204343661826,0.7434443840439026,0.6529471150112603,0.8459268463151355,-0.017240040382076605,0.07325722865056561,2.0,1.0,0.39662447257383965,237
0.5,0.8,0.6,6,0.575,0.6959335038363171,0.6995652173913044,0.6361125319693095,0.8197953964194373,-0.0036317135549872592,0.05982097186700763,3.0,2,0.39565217391304347,230
0.5,0.8,0.6,7,0.565,0.7198657308513885,0.6978944156240464,0.6259790458752924,0.8291119926762283,0.02197131522734208,0.09388668497609609,3,2.0,0.43805309734513276,226
0.8,0.3,0.0,0,0.5,0.8306,0.796525,0.7117,0.910075,0.034074999999999966,0.1189,2.0,1,0.46,200
0.8,0.3,0.0,1,0.52,0.8530649038461539,0.8417467948717948,0.7111879006410257,0.9354717548076923,0.011318108974359031,0.1418770032051282,2.0,1.0,0.4326923076923077,208
0.8,0.3,0.0,2,0.4875,0.8016760475297061,0.8017010631644778,0.683827392120075,0.8971357098186367,-2.501563477164126e-05,0.11784865540963108,2.0,2.0,0.48205128205128206,195
0.8,0.3,0.0,3,0.475,0.8373934837092731,0.8526817042606516,0.6670175438596492,0.9345614035087719,-0.015288220551378462,0.17037593984962396,2.0,2.0,0.4842105263157895,190
0.8,0.3,0.0,4,0.5025,0.815670391759794,0.8078951973799345,0.668441711042776,0.9069726743168579,0.007775194379859407,0.1472286807170179,2.0,2,0.4626865671641791,201
0.8,0.3,0.0,5,0.4925,0.7547198119576904,0.773449026030857,0.6517716486209397,0.8733715085894326,-0.018729214073166522,0.10294816333675072,2.0,2,0.4720812182741117,197
0.8,0.3,0.0,6,0.4875,0.7999749843652283,0.8124577861163227,0.6886804252657911,0.9085428392745466,-0.012482801751094397,0.1112945590994372,1.0,2.0,0.4512820512820513,195
0.8,0.3,0.0,7,0.475,0.820952380952381,0.8159649122807018,0.6741102756892231,0.9144611528822055,0.004987468671679207,0.14684210526315788,1.0,2.0,0.4421052631578947,190
0.8,0.3,0.6,0,0.51,0.8097989195678271,0.8335334133653461,0.692451980792317,0.9508803521408563,-0.02373449379751902,0.11734693877551017,2.0,1.0,0.4362745098039216,204
0.8,0.3,0.6,1,0.5075,0.8045810307319147,0.8138581180765673,0.6957315395964092,0.9230576879797955,-0.009277087344652601,0.10884949113550546,3,1,0.5024630541871922,203
