engine,seq_len,inj_seq,inj_tokens,f,seed,recompute_pct
radix,4000,0.25,1000,0.1,3,92.0
flashinfer,4000,0.25,1000,0.1,3,92.0
cdc,4000,0.25,1000,0.1,3,21.12
pic_lean,4000,0.25,1000,0.1,3,25.92
vllm_apc,4000,0.25,1000,0.1,4,91.9872
radix,4000,0.25,1000,0.1,4,92.0
flashinfer,4000,0.25,1000,0.1,4,92.0
cdc,4000,0.25,1000,0.1,4,20.32
pic_lean,4000,0.25,1000,0.1,4,25.92
vllm_apc,4000,0.25,1000,0.5,0,59.9359
radix,4000,0.25,1000,0.5,0,60.0
flashinfer,4000,0.25,1000,0.5,0,60.0
cdc,4000,0.25,1000,0.5,0,20.66
pic_lean,4000,0.25,1000,0.5,0,25.92
vllm_apc,4000,0.25,1000,0.5,1,59.9359
radix,4000,0.25,1000,0.5,1,60.0
flashinfer,4000,0.25,1000,0.5,1,60.0
cdc,4000,0.25,1000,0.5,1,20.6
pic_lean,4000,0.25,1000,0.5,1,25.92
vllm_apc,4000,0.25,1000,0.5,2,59.9359
radix,4000,0.25,1000,0.5,2,60.0
flashinfer,4000,0.25,1000,0.5,2,60.0
cdc,4000,0.25,1000,0.5,2,20.64
pic_lean,4000,0.25,1000,0.5,2,25.92
vllm_apc,4000,0.25,1000,0.5,3,59.9359
radix,4000,0.25,1000,0.5,3,60.0
flashinfer,4000,0.25,1000,0.5,3,60.0
cdc,4000,0.25,1000,0.5,3,20.18
pic_lean,4000,0.25,1000,0.5,3,25.92
vllm_apc,4000,0.25,1000,0.5,4,59.9359
radix,4000,0.25,1000,0.5,4,60.0
flashinfer,4000,0.25,1000,0.5,4,60.0
cdc,4000,0.25,1000,0.5,4,20.72
pic_lean,4000,0.25,1000,0.5,4,25.92
vllm_apc,4000,0.25,1000,0.9,0,27.8846
radix,4000,0.25,1000,0.9,0,28.0
flashinfer,4000,0.25,1000,0.9,0,28.0
cdc,4000,0.25,1000,0.9,0,20.18
pic_lean,4000,0.25,1000,0.9,0,25.92
vllm_apc,4000,0.25,1000,0.9,1,27.8846
radix,4000,0.25,1000,0.9,1,28.0
flashinfer,4000,0.25,1000,0.9,1,28.0
cdc,4000,0.25,1000,0.9,1,20.58
pic_lean,4000,0.25,1000,0.9,1,25.92
vllm_apc,4000,0.25,1000,0.9,2,27.8846
radix,4000,0.25,1000,0.9,2,28.0
flashinfer,4000,0.25,1000,0.9,2,28.0
cdc,4000,0.25,1000,0.9,2,20.26
pic_lean,4000,0.25,1000,0.9,2,25.92
vllm_apc,4000,0.25,1000,0.9,3,27.8846
radix,4000,0.25,1000,0.9,3,28.0
flashinfer,4000,0.25,1000,0.9,3,28.0
cdc,4000,0.25,1000,0.9,3,20.76
pic_lean,4000,0.25,1000,0.9,3,25.92
vllm_apc,4000,0.25,1000,0.9,4,27.8846
radix,4000,0.25,1000,0.9,4,28.0
